# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"Action Index","anchor_id":"FILE1_Z2_XY0","type":1,"desc":"动作索引","options":{"default":"Default"},"default_option_id":""},"2":{"aname":"Human bbox","anchor_id":"FILE1_Z0_XY1","type":1,"desc":"","options":{},"default_option_id":""},"3":{"aname":"Object bbox","anchor_id":"FILE1_Z0_XY1","type":1,"desc":"","options":{},"default_option_id":""},"4":{"aname":"connection","anchor_id":"FILE1_Z2_XY0","type":1,"desc":"","options":{},"default_option_id":""},"5":{"aname":"invisibility","anchor_id":"FILE1_Z2_XY0","type":3,"desc":"","options":{"0":"1","1":"0"},"default_option_id":""}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"1_PMlXzMgw","[""象印.mp4""]",0,"[32.63876]","[2,952.94082,411.671,391.342,254.117]","{""1"":""安装显示板螺丝"",""3"":""显示板螺丝"",""4"":""1，4"",""5"":""0""}"
"1_nOaTVUXA","[""象印.mp4""]",0,"[34.79213]","[2,975.81176,106.72982,749.64724,861.458]","{""1"":""安装显示板螺丝"",""2"":""操作员"",""4"":""1，4"",""5"":""0""}"
"1_npu5XLCW","[""象印.mp4""]",0,"[34.79213]","[2,1100.32977,454.87059,243.95258,167.71764]","{""1"":""安装显示板螺丝"",""3"":""显示板螺丝"",""4"":""1，4"",""5"":""0""}"
"1_PXZJMlQL","[""象印.mp4""]",0,"[36.19742]","[2,960.565,287.153,772.517,681.035]","{""1"":""安装显示板螺丝"",""2"":""操作员"",""4"":""1，4"",""5"":""0""}"
"1_mgCEVeXr","[""象印.mp4""]",0,"[36.19742]","[2,1059.67041,531.10588,284.61194,175.34112]","{""1"":""安装显示板螺丝"",""3"":""显示板螺丝"",""4"":""1，4"",""5"":""0""}"
"1_UaOC3MsY","[""象印.mp4""]",0,"[37.61536]","[2,960.56471,132.14118,769.97658,841.12947]","{""1"":""安装显示板"",""2"":""操作员"",""4"":""1，5"",""5"":""0""}"
"1_DQUzIdiR","[""象印.mp4""]",0,"[37.61536]","[2,935.153,419.294,467.576,269.365]","{""1"":""安装显示板"",""3"":""显示板"",""4"":""1，5"",""5"":""0""}"
"1_1w8qIBKB","[""象印.mp4""]",0,"[37.89193]","[2,1100.32941,172.8,625.12959,800.471]","{""1"":""安装显示板"",""2"":""操作员"",""4"":""1，5"",""5"":""0""}"
"1_svnzas75","[""象印.mp4""]",0,"[37.89193]","[2,970.72935,459.95312,421.835,254.117]","{""1"":""安装显示板"",""3"":""显示板"",""4"":""1，5"",""5"":""0""}"
"1_tuXVMZFd","[""象印.mp4""]",0,"[38.09794]","[2,1158.776,180.42353,566.683,790.30629]","{""1"":""安装显示板"",""2"":""操作员"",""4"":""1，5""}"
"1_6LGQMk7b","[""象印.mp4""]",0,"[38.09794]","[2,932.612,393.882,454.87,226.165]","{""1"":""安装显示板"",""3"":""显示板"",""4"":""1，5"",""5"":""0""}"
"1_LYQwm94X","[""象印.mp4""]",0,"[38.33528]","[2,1179.10558,109.27059,548.89442,864]","{""1"":""安装显示板"",""2"":""操作员"",""4"":""1，5""}"
"1_wmNaFL0w","[""象印.mp4""]",0,"[38.33528]","[2,980.89412,343.05929,513.31764,310.023]","{""1"":""安装显示板"",""3"":""显示板"",""4"":""1，5"",""5"":""0""}"
"1_pHYOXbXb","[""象印.mp4""]",0,"[39.16253]","[2,902.11718,99.106,828.424,874.165]","{""1"":""安装加热板螺丝替代"",""2"":""操作员"",""4"":""1，6""}"
"1_1amFzX88","[""象印.mp4""]",0,"[39.16253]","[2,899.57606,231.24718,162.636,94.023]","{""1"":""安装加热板螺丝替代"",""3"":""加热板螺丝"",""4"":""1，6"",""5"":""0""}"
"1_Xsy0J3HG","[""象印.mp4""]",0,"[40.29034]","[2,1306.16471,91.48194,421.83511,876.706]","{""1"":""安装加热板螺丝替代"",""2"":""操作员"",""4"":""1，5"",""5"":""0""}"
"1_nhdpnGTU","[""象印.mp4""]",0,"[40.29034]","[2,1308.70575,393.88235,121.977,175.341]","{""1"":""安装加热板螺丝替代"",""3"":""加热板螺丝"",""4"":""1，6"",""5"":""0""}"
"1_9NYmbkZ9","[""象印.mp4""]",0,"[40.80812]","[2,1275.67047,106.729,452.33,861.459]","{""1"":""安装加热板螺丝替代"",""2"":""操作员"",""4"":""1，6"",""5"":""0""}"
"1_OKJORf8Q","[""象印.mp4""]",0,"[40.80812]","[2,1313.78811,510.77688,119.435,88.941]","{""1"":""安装加热板螺丝替代"",""3"":""加热板螺丝"",""4"":""1，6"",""5"":""0""}"
"1_wRaOoSby","[""象印.mp4""]",0,"[42.99506]","[2,721.694,109.271,182.96482,495.529]","{""1"":""安装加热板螺丝替代"",""2"":""操作员"",""4"":""1，6"",""5"":""0""}"
"1_9lVkChZI","[""象印.mp4""]",0,"[42.99506]","[2,759.81171,480.28241,91.482,129.6]","{""1"":""安装加热板螺丝替代"",""3"":""加热板螺丝"",""4"":""1，6"",""5"":""0""}"
"1_ZDO1XsIK","[""象印.mp4""]",0,"[48.16557]","[2,198.21206,269.36471,1067.29382,708.98853]","{""1"":""安装底盘"",""2"":""操作员"",""4"":""1，7""}"
"1_v1GYXfvt","[""象印.mp4""]",0,"[48.16557]","[2,411.671,104.188,991.058,813.177]","{""1"":""安装底盘"",""3"":""底盘"",""4"":""1，7"",""5"":""0""}"
"1_cZ7QVfbC","[""象印.mp4""]",0,"[48.53085]","[2,193.129,218.541,1102.871,762.353]","{""1"":""安装底盘"",""2"":""操作员"",""4"":""1，7"",""5"":""0""}"
"1_gNGtz2Kz","[""象印.mp4""]",0,"[48.53085]","[2,513.318,104.188,899.576,747.106]","{""1"":""安装底盘"",""3"":""底盘"",""4"":""1，7"",""5"":""0""}"
"1_dX3sMVVI","[""象印.mp4""]",0,"[48.9645]","[2,185.50565,132.14118,1146.071,841.12929]","{""1"":""安装底盘"",""2"":""操作员"",""4"":""1，7"",""5"":""0""}"
"1_IaKcCqFP","[""象印.mp4""]",0,"[48.9645]","[2,1326.494,942.776,7.624,2.542]","{""1"":""安装底盘""}"
"1_Y0IlYqzh","[""象印.mp4""]",0,"[48.9645]","[2,1313.788,952.941,12.706,17.788]","{""1"":""安装底盘""}"
"1_ETkidjKh","[""象印.mp4""]",0,"[48.9645]","[2,640.37641,119.43535,818.25888,724.235]","{""1"":""安装底盘"",""3"":""底盘"",""4"":""1，7"",""5"":""0""}"
"1_RMlc48Xk","[""象印.mp4""]",0,"[50.85837]","[2,193.129,104.188,1245.177,861.459]","{""1"":""安装底盘"",""2"":""操作员"",""4"":""1，7"",""5"":""0""}"
"1_4SUIahC2","[""象印.mp4""]",0,"[50.85837]","[2,645.459,238.87094,772.517,630.211]","{""1"":""安装底盘"",""3"":""底盘"",""4"":""1，7""}"
"1_WeVZLVXv","[""象印.mp4""]",0,"[52.44376]","[2,188.047,353.224,871.624,614.964]","{""1"":""安装底盘"",""2"":""操作员"",""4"":""1，7"",""5"":""0""}"
"1_0cgtI9ho","[""象印.mp4""]",0,"[52.44376]","[2,640.37671,233.78823,747.106,696.28253]","{""1"":""安装底盘"",""3"":""底盘"",""4"":""1，7\n""}"
"1_dz6ScUIZ","[""象印.mp4""]",0,"[52.44376]","[2,1392.565,825.882,15.247,5.083]","{""1"":""安装底盘""}"
"1_cPSyD3eX","[""象印.mp4""]",0,"[62.12365]","[2,1057.129,106.729,670.871,866.542]","{""1"":""安装底盘螺丝"",""2"":""操作员"",""4"":""1，8"",""5"":""0""}"
"1_P5c4JMba","[""象印.mp4""]",0,"[62.12365]","[2,1059.67058,241.41176,76.23559,101.64742]","{""1"":""安装底盘螺丝"",""3"":""底盘螺丝"",""4"":""1，8"",""5"":""0""}"
"1_X33Noh6j","[""象印.mp4""]",0,"[64.34543]","[2,1024.094,114.353,231.24718,620.047]","{""1"":""安装底盘螺丝"",""2"":""操作员"",""4"":""1，8"",""5"":""0""}"
"1_X0yZlPxN","[""象印.mp4""]",0,"[64.34543]","[2,1003.765,607.341,198.211,167.718]","{""1"":""安装底盘螺丝"",""3"":""底盘螺丝"",""4"":""1，8"",""5"":""0""}"
"1_N3lyie9k","[""象印.mp4""]",0,"[63.35451]","[2,1133.365,198.212,594.635,698.823]","{""1"":""安装底盘螺丝"",""2"":""操作员"",""4"":""1，8"",""5"":""0""}"
"1_mqYZ0GVR","[""象印.mp4""]",0,"[63.35451]","[2,1306.16465,134.68206,188.047,185.506]","{""1"":""安装底盘螺丝"",""3"":""底盘螺丝"",""4"":""1，8"",""5"":""0""}"
"1_7Mdz9XPp","[""象印.mp4""]",0,"[64.59345]","[2,975.812,104.188,289.694,648]","{""1"":""安装底盘螺丝"",""2"":""操作员"",""4"":""1，8"",""5"":""0""}"
"1_l70Ctowz","[""象印.mp4""]",0,"[64.59345]","[2,1031.71776,604.79988,134.682,121.977]","{""1"":""安装底盘螺丝"",""3"":""底盘螺丝"",""4"":""1，8"",""5"":""0""}"
"1_9oYe9rFE","[""象印.mp4""]",0,"[72.18996]","[2,1057.129,632.753,675.953,330.353]","{""1"":""Install the rear center screw"",""2"":""操作员"",""4"":""1，9"",""5"":""0""}"
"1_5O9nyiQL","[""象印.mp4""]",0,"[72.18996]","[2,1006.306,597.176,106.729,116.895]","{""1"":""Install the rear center screw"",""3"":""后部中心螺丝"",""4"":""1，9"",""5"":""0""}"
"1_0fxVPbVX","[""象印.mp4""]",0,"[72.43672]","[2,1036.8,602.259,691.2,360.847]","{""1"":""Install the rear center screw"",""2"":""操作员"",""4"":""1，9"",""5"":""0""}"
"1_XWgTIxZZ","[""象印.mp4""]",0,"[72.43672]","[2,996.141,592.094,101.647,96.565]","{""1"":""Install the rear center screw"",""3"":""后部中心螺丝"",""4"":""1，9"",""5"":""0""}"
"1_oexZHhiF","[""象印.mp4""]",0,"[74.59147]","[2,1102.871,500.612,625.129,472.659]","{""1"":""Install the rear center screw"",""2"":""操作员"",""4"":""1，9""}"
"1_VXmCESuI","[""象印.mp4""]",0,"[74.59147]","[2,1090.16436,495.52936,83.859,88.941]","{""1"":""Install the rear center screw"",""3"":""后部中心螺丝"",""4"":""1，9"",""5"":""0""}"
"1_CQy0mWxZ","[""象印.mp4""]",0,"[75.07001]","[2,1049.50588,508.235,678.49412,465.036]","{""1"":""Install the rear center screw"",""2"":""操作员"",""4"":""1，9"",""5"":""0""}"
"1_uiBXVfMO","[""象印.mp4""]",0,"[75.07001]","[2,1095.24664,515.85842,68.612,60.989]","{""1"":""Install the rear center screw"",""3"":""后部中心螺丝"",""4"":""1，9"",""5"":""0""}"
